"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Verification of Register Page","User gets error message when entered password with only numbers","0","0","1","0","0"
"","Verification of Register Page","User gets error message when entered password with characters less than 8","0","0","1","0","0"
"","Graph Link Verification","User is successfully navigated to Graph Page and checks all the links on the page","0","0","1","0","0"
"","HOME","Verify User not logged in message when user clicks on any data structure entry","0","0","1","0","0"
"","Verification of Register Page","User gets error message when entered different passwords","0","0","1","0","0"
"","HOME","Data Structures DropDown Verification","0","0","1","0","0"
"","SignIn page Verification","User verifies invalid and valid combination of username and password and checks for expected message","0","0","4","0","0"
"","DS-ALGO","DS Algo Portal","0","0","1","0","0"
"","SignIn page Verification","User gets error message when enters only password and clicks on SignIn button","0","0","1","0","0"
"","HOME","Verify if user is redirected to register page	if clicked on ""Register""","0","0","1","0","0"
"","Tree Link Verification","User is successfully navigated to Tree Page and checks all the links on the page","0","0","1","0","0"
"","Verification of Register Page","User gets error message when password fields are empty","0","0","1","0","0"
"","Queue Link Verification","User is successfully navigated to Queue Page and checks all the links on the page","0","0","1","0","0"
"","Stack Link Verification","User is successfully navigated to Stack Page and checks all the links on the page","0","0","1","0","0"
"","Verification of Register Page","User gets error message when confirm password field is empty","0","0","1","0","0"
"","Verification of Register Page","User gets redirected to HomePage successfully with valid login and passwords","1","0","0","0","0"
"","Data Structures Link Verification","User is successfully navigated to DataStructures Page and checks all the links on the page","0","0","1","0","0"
"","Array Link Verification","User is successfully navigated to Array Page and checks all the links on the page","0","0","1","0","0"
"","HOME","Verify if user is redirected to sign in page	if clicked on ""Sign In""","0","0","1","0","0"
"","HOME","Verify User not logged in message when user selects any data structure from the dropdown with signIn","0","0","1","0","0"
"","SignIn page Verification","User gets error message when enters only username and clicks on SignIn button","0","0","1","0","0"
"","SignIn page Verification","User gets error message when all fields are empty and clicks on SignIn button","0","0","1","0","0"
"","Verification of Register Page","User gets error message when all fields are empty","0","0","1","0","0"
"","Verification of Register Page","User gets error message when invalid characters are entered in username","0","0","1","0","0"
"","LinkedList Link Verification","User is successfully navigated to LinkedList Page and checks all the links on the page","0","0","1","0","0"
